Usuario_ID;Data_Acesso;Hora;Site_Visitado;Tempo_Minutos;Dispositivo;Localizacao_Cidade
USR-1265;16/10/2024;13:02;netflix.com;112;Tablet;Feira de Santana
USR-9061;24/05/2024;18:21;mercadolivre.com.br;9;Smartphone;Aparecida de Goiânia
USR-2509;12/10/2024;03:34;folha.uol.com.br;103;Smartphone;Aparecida de Goiânia
USR-8675;08/11/2024;20:12;uol.com.br;99;Smart TV;Natal
USR-8630;19/08/2024;23:09;mercadolivre.com.br;43;Smartphone;Goiânia
USR-6567;20/08/2024;16:49;amazon.com.br;95;Smart TV;Rio de Janeiro
USR-7577;21/10/2024;09:00;spotify.com;107;Smart TV;Rio de Janeiro
USR-1139;25/04/2024;10:27;folha.uol.com.br;34;Desktop;Maringá
USR-6351;29/09/2024;14:41;mercadolivre.com.br;26;Tablet;Aparecida de Goiânia
USR-3500;06/04/2024;04:13;twitter.com;24;Smartphone;Rio de Janeiro
USR-9739;04/11/2024;01:49;folha.uol.com.br;70;Tablet;Fortaleza
USR-6365;10/06/2024;07:42;instagram.com;26;Tablet;Belém
USR-7951;18/05/2024;07:59;instagram.com;99;Tablet;Rio de Janeiro
USR-3249;13/08/2024;03:53;tiktok.com;4;Smart TV;Campinas
USR-7232;26/01/2024;14:28;tiktok.com;26;Desktop;Porto Velho
USR-3042;17/02/2024;05:32;spotify.com;93;Smartphone;Belém
USR-4434;02/03/2024;15:47;spotify.com;46;Tablet;Santos
USR-4129;17/04/2024;02:51;netflix.com;47;Smart TV;Campo Grande
USR-9335;27/02/2024;14:01;g1.globo.com;49;Smart TV;Niterói
USR-2639;30/06/2024;11:19;uol.com.br;56;Tablet;São Luís
USR-2383;29/11/2024;20:51;tiktok.com;113;Smart TV;Rio de Janeiro
USR-5500;27/11/2024;10:02;folha.uol.com.br;109;Desktop;Goiânia
USR-1151;06/03/2024;16:09;folha.uol.com.br;89;Smart TV;Belo Horizonte
USR-2002;01/11/2024;06:55;amazon.com.br;85;Tablet;Cuiabá
USR-7797;21/03/2024;13:11;folha.uol.com.br;120;Desktop;Goiânia
USR-6981;26/02/2024;05:01;linkedin.com;27;Tablet;Niterói
USR-7114;15/05/2024;19:20;g1.globo.com;101;Smartphone;Vitória
USR-1466;28/08/2024;01:47;folha.uol.com.br;117;Smart TV;Belo Horizonte
USR-9838;12/07/2024;19:46;netflix.com;22;Desktop;Curitiba
USR-1244;27/06/2024;07:05;tiktok.com;9;Smartphone;Joinville
USR-8609;31/07/2024;17:28;folha.uol.com.br;110;Smartphone;Teresina
USR-8802;28/08/2024;08:08;youtube.com;85;Tablet;Curitiba
USR-8828;09/09/2024;23:53;spotify.com;26;Desktop;São Luís
USR-9433;07/03/2024;04:14;mercadolivre.com.br;11;Smartphone;Niterói
USR-5625;10/11/2024;03:15;instagram.com;33;Desktop;Teresina
USR-6384;29/12/2024;14:42;spotify.com;67;Tablet;Manaus
USR-6373;04/08/2024;11:42;folha.uol.com.br;75;Smartphone;Porto Velho
USR-1786;11/04/2024;05:00;folha.uol.com.br;82;Smartphone;Maceió
USR-3652;22/07/2024;10:00;spotify.com;62;Smart TV;Aracaju
USR-4076;17/11/2024;18:25;linkedin.com;28;Smart TV;Campo Grande
USR-9943;13/08/2024;03:47;twitter.com;84;Tablet;Vitória
USR-4052;10/05/2024;10:51;linkedin.com;99;Smart TV;Curitiba
USR-6609;22/09/2024;08:04;youtube.com;55;Smartphone;Feira de Santana
USR-3068;18/02/2024;07:29;uol.com.br;16;Tablet;Manaus
USR-6695;06/06/2024;14:27;netflix.com;11;Desktop;Niterói
USR-9370;09/04/2024;04:53;mercadolivre.com.br;29;Smartphone;Guarulhos
USR-6798;26/09/2024;19:49;folha.uol.com.br;73;Smartphone;Feira de Santana
USR-6941;03/10/2024;07:44;netflix.com;22;Tablet;Belém
USR-2640;14/12/2024;05:40;mercadolivre.com.br;110;Desktop;Porto Alegre
USR-9860;08/11/2024;13:54;instagram.com;36;Smartphone;Niterói
USR-5857;18/07/2024;16:26;linkedin.com;60;Tablet;Manaus
USR-5915;01/01/2024;02:16;amazon.com.br;72;Tablet;Campinas
USR-2094;31/01/2024;13:08;folha.uol.com.br;62;Desktop;Maceió
USR-7410;22/03/2024;20:26;tiktok.com;76;Desktop;Maceió
USR-6741;06/02/2024;07:17;folha.uol.com.br;115;Smart TV;Recife
USR-3487;15/04/2024;14:09;mercadolivre.com.br;36;Tablet;São Paulo
USR-2921;23/09/2024;09:33;uol.com.br;99;Smart TV;São Luís
USR-8180;01/06/2024;03:34;amazon.com.br;79;Smart TV;Porto Alegre
USR-2153;23/06/2024;08:02;tiktok.com;108;Tablet;Recife
USR-8643;06/08/2024;18:10;amazon.com.br;89;Smart TV;João Pessoa
